Feature_Set,Classifier,F1_Score_Macro
LBP + HOG + DL_ResNet,RandomForest,0.9678298874893823
Contrast + Edge + HOG + SpatialFreq,RandomForest,0.9678075324047544
Edge + DarkChannel + HOG + SpatialFreq,RandomForest,0.9678075324047544
Contrast + DarkChannel + HOG + SpatialFreq,RandomForest,0.9678075324047544
Contrast + LBP + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9667264634349664
Edge + DarkChannel + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9656773331057785
Contrast + DarkChannel + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9656773331057785
Contrast + Edge + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9656773331057785
DarkChannel + HOG + SpatialFreq + DL_Inception,RandomForest,0.9656630793135946
Contrast + HOG + SpatialFreq + DL_Inception,RandomForest,0.9656630793135946
Edge + HOG + SpatialFreq + DL_Inception,RandomForest,0.9656630793135946
HOG + SpatialFreq + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9656600437560086
Contrast + Edge + DarkChannel + LBP + HOG + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9646295568572458
Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9646098327934542
Contrast + DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9646098327934542
Contrast + Edge + LBP + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9646098327934542
LBP + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9646002908991201
Contrast + Edge + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9645999929909592
Contrast + DarkChannel + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9645999929909592
Edge + DarkChannel + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9645999929909592
Contrast + DarkChannel + LBP + HOG + DL_EfficientNet,RandomForest,0.9645961502675462
Edge + DarkChannel + LBP + HOG + DL_EfficientNet,RandomForest,0.9645961502675462
Contrast + Edge + LBP + HOG + DL_EfficientNet,RandomForest,0.9645961502675462
Edge + DarkChannel + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9645950289927878
Contrast + Edge + DarkChannel + HOG,RandomForest,0.9645792125688475
DarkChannel + LBP + HOG + DL_Inception,RandomForest,0.9645649518922743
HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9645601497937097
Edge + LBP + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9645584417547495
DarkChannel + LBP + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9645584417547495
HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9645410294658818
Contrast + Edge + HOG + SpatialFreq_mRMR,RandomForest,0.9635998489552579
Contrast + Edge + DarkChannel + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9635690195296398
Contrast + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9635634492102298
Contrast + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9635604540082301
Contrast + Edge + DarkChannel + LBP + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9635421580227316
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet,RandomForest,0.9635410417538877
Contrast + Edge + DarkChannel + HOG + DL_ResNet + DL_EfficientNet,RandomForest,0.9635400290762185
Contrast + Edge + DarkChannel + HOG + SpatialFreq + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9635276600451854
Contrast + DarkChannel + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9635271590078993
Contrast + Edge + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9635271590078993
Edge + DarkChannel + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9635271590078993
Contrast + LBP + HOG + DL_ResNet + DL_EfficientNet,RandomForest,0.9635232155092215
HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9635205141028587
Contrast + LBP + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9635170865450396
Edge + LBP + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9635170865450396
DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9635170865450396
Edge + LBP + HOG + DL_ResNet + DL_EfficientNet,RandomForest,0.9635155365667465
DarkChannel + LBP + HOG + DL_ResNet + DL_EfficientNet,RandomForest,0.9635155365667465
Contrast + Edge + DarkChannel + HOG + DL_ResNet,RandomForest,0.963510230598089
HOG + SpatialFreq + DL_ResNet,RandomForest,0.9635082016227742
Contrast + LBP + HOG,RandomForest,0.9635032177160934
DarkChannel + LBP + HOG,RandomForest,0.9635032177160934
Edge + LBP + HOG,RandomForest,0.9635032177160934
LBP + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9635024290973961
Contrast + LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9634994351810672
Edge + LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9634994351810672
HOG + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9634991518716696
